Neftel.all,GL261.CT2A.specific,GBM.HH.query,HH.neural.dif.short,HH.neural.dif.long
,,,,Notum
,,,,Ifngr2
,,,,Smarca2
,,,,Irgq
,,,,Gdpd5
,,,,Inpp4a
,,,,Dach1
,,,,Faim2
,,,,Shq1
,,,,Slc12a7
,,,,Tmem91
,,,,Inpp5j
,,,,Gpr137c
,,,,Socs5
,,,,Gdf3
,,,,8430406I07Rik
,,,,Rnf122
,,,,2610002M06Rik
,,,,Wtip
,,,,Dna2
,,,,Col6a2
,,,,Txndc16
,,,,Sh3pxd2b
,,,,Plcb1
,,,,4-Sep
,,,,Gm5151
,,,,Plcg2
,,,,Abhd14a
,,,,Gpr124
,,,,Dpp6
,,,,Pla2g12a
,,,,Hexim2
,,,,Arhgap11a
,,,,Crim1
,,,,Gbx2
,,,,Pdzrn3
,,,,Nr2f2
,,,,Cds1
,,,,Ranbp6
,,,,Cldn7
,,,,Hcn3
,,,,Ephb2
,,,,Zfp629
,,,,Lpin2
,,,,Dock6
,,,,Eras
,,,,Rcan3
,,,,Lmbrd1
,,,,Dbndd1
,,,,Fam131a
,,,,Cep192
,,,,Ppm1h
,,,,Slc36a1
,,,,Ablim2
,,,,Phactr1
,,,,Aig1
,,,,Olfm3
,,,,Foxh1
,,,,Rundc3b
,,,,Clp1
,,,,Pou3f2
,,,,Rras
,,,,Ccrn4l
,,,,Gm14401
,,,,Pycard
,,,,Egfl7
,,,,Gria3
,,,,Zfp811
,,,,Rpl10l
,,,,Hoxc5
,,,,Erc2
,,,,BC068157
,,,,Dll1
,,,,Nfatc3
,,,,Pole2
,,,,Ank1
,,,,Cenpp
,,,,Itgb7
,,,,Tet3
,,,,Gkn1
,,,,Spry4
,,,,Reep4
,,,,Asb4
,,,,Maneal
,,,,Vamp8
,,,,Rimkla
,,,,Arid3b
,,,,Sgsm1
,,,,Clvs1
,,,,Tada1
,,,,N4bp3
,,,,Gria1
,,,,Zfp296
,,,,Dok4
,,,,Fam171a1
,,,,Vstm2b
,,,,Sema6b
,,,,Tmem179
,,,,Vnn1
,,,,Nova2
,,,,Tgif2
,,,,Scn8a
,,,,Hoxa3
,,,,Haus3
,,,,Tbc1d24
,,,,Lsamp
,,,,9030425E11Rik
,,,,Plscr1
,,,,Cpeb2
,,,,Zfyve21
,,,,Pde4a
,,,,Ppfia4
,,,,Gprc5b
,,,,Atrnl1
,,,,Cdh18
,,,,Sv2c
,,,,Tmem180
,,,,Lrrc49
,,,,Coro1a
,,,,Ltbp4
,,,,Slc35f2
,,,,Nr1d1
,,,,Pkp2
,,,,Trim67
,,,,Bag3
,,,,Hoxa2
,,,,Hist3h2a
,,,,Bcam
,,,,Tmem163
,,,,Pir
,,,,Fanci
,,,,Pmp22
,,,,Sall2
,,,,Adam22
,,,,Nkiras1
,,,,Prkce
,,,,Ctdsp1
,,,,Letmd1
,,,,Sh2d3c
,,,,A630089N07Rik
,,,,Fam131c
,,,,Jam2
,,,,Katnal1
,,,,Pura
,,,,Slc24a2
,,,,Efnb1
,,,,Emid2
,,,,Cyp46a1
,,,,Prrx1
,,,,Utrn
,,,,Eml1
,,,,Chtf18
,,,,Dnajc12
,,,,Lrp5
,,,,Igsf21
,,,,Sema4g
,,,,Kcnk5
,,,,Lrfn5
,,,,Dock3
,,,,Tspan18
,,,,Lrrn2
,,,,Nfasc
,,,,Actr3b
,,,,Prelid2
,,,,Clcn5
,,,,Tfpi
,,,,Blm
,,,,Ppp1r13b
,,,,Fzd2
,,,,Chst10
,,,,F11r
,,,,Car4
,,,,Plin2
,,,,Plxnb1
,,,,Klf3
,,,,Lactb2
,,,,Cep78
,,,,Jakmip2
,,,,Frs3
,,,,Lbp
,,,,Ints7
,,,,Itga6
,,,,S1pr3
,,,,9330159F19Rik
,,,,Tspo
,,,,Hoxd3
,,,,2010107G23Rik
,,,,Arrb1
,,,,Ano10
,,,,Zfp36l2
,,,,Haus4
,,,,Ppm1l
,,,,Lepre1
,,,,Hes1
,,,,Sgcb
,,,,Fam84a
,,,,Foxm1
,,,,Oprl1
,,,,Trio
,,,,Chrnb2
,,,,Ccdc21
,,,,Sgol2
,,,,Nrsn2
,,,,Neto2
,,,,Adcyap1r1
,,,,Col6a1
,,,,Ankrd34b
,,,,Dtx1
,,,,Slc25a14
,,,,Bai1
,,,,Apoc1
,,,,Tcfl5
,,,,Aff1
,,,,Hoxd4
,,,,N28178
,,,,Cgref1
,,,,Dpf1
,,,,Ano8
,,,,St14
,,,,Crtac1
,,,,Gm16039
,,,,Spire2
,,,,Tceal6
,,,,Slc39a4
,,,,Ecm1
,,,,Lhx5
,,,,Lamb2
,,,,Gripap1
,,,,Ttyh1
,,,,Hspbap1
,,,,Nipa1
,,,,1300018I17Rik
,,,,Slc6a15
,,,,Kcnd2
,,,,Atrn
,,,,Ttf2
,,,,Rap1gap2
,,,,Rpsa
,,,,Slc8a2
,,,,Clip4
,,,,Nacc2
,,,,F630043A04Rik
,,,,Slc7a14
,,,,2810474O19Rik
,,,,Rltpr
,,,,1700029F09Rik
,,,,Zbtb4
,,,,Ly6g6e
,,,,Pcdh17
,,,,Esrrg
,,,,Fmr1nb
,,,,Nkain4
,,,,Slc36a4
,,,,Cdh10
,,,,1190007I07Rik
,,,,Pax3
,,,,Pecr
,,,,Pak4
,,,,Nmnat2
,,,,Agap1
,,,,Ggt7
,,,,Rnf17
,,,,Dmxl2
,,,,Plcxd2
,,,,Mark1
,,,,Fam155a
,,,,Shd
,,,,Abcg2
,,,,Tcf7l1
,,,,Thsd7a
,,,,Lsm11
,,,,B4galt1
,,,,Slc22a23
,,,,Mif4gd
,,,,E2f5
,,,,Fam19a2
,,,,Pou4f1
,,,,Zbtb8a
,,,,Chek2
,,,,Zdhhc1
,,,,Stac2
,,,,Shcbp1
,,,,Phf16
,,,,Gng4
,,,,Enpp3
,,,,Prdm5
,,,,Pawr
,,,,Etl4
,,,,Nacad
,,,,Slc35f1
,,,,Stk39
,,,,Zfhx4
,,,,2410141K09Rik
,,,,H2-Q7
,,,,Sema6d
,,,,Spns2
,,,,Dnajb4
,,,,Gmpr
,,,,Reep3
,,,,Tcfap2b
,,,,C330027C09Rik
,,,,Chst15
,,,,Dera
,,,,Kank2
,,,,Ooep
,,,,Rgs7bp
,,,,Nxph4
,,,,Efha2
,,,,Rad50
,,,,Ebf1
,,,,Hoxb4
,,,,Ckap2l
,,,,Mkrn3
,,,,Dlgap3
,,,,Foxo4
,,,,Cyfip1
,,,,Fstl5
,,,,4930431F12Rik
,,,,Fam69a
,,,,Mre11a
,,,,B230217C12Rik
,,,,Ncoa7
,,,,Gnaz
,,,,G2e3
,,,,Asphd2
,,,,Tub
,,,,Rasgrp2
,,,,Nrp1
,,,,Rprm
,,,,Zfp703
,,,,F2rl1
,,,,Npl
,,,,D3Bwg0562e
,,,,Gm13212
,,,,Prmt8
,,,,Dync1i1
,,,,Slc6a5
,,,,Ecel1
,,,,AC131675.1
,,,,Galntl1
,,,,Nxt2
,,,,Xpo4
,,,,Pnp
,,,,2310014H01Rik
,,,,Wscd1
,,,,Ctnnal1
,,,,Gm8113
,,,,Rims3
,,,,Ptprd
,,,,Sybu
,,,,Trim46
,,,,Chd5
,,,,Nek2
,,,,Gjd2
,,,,Spsb4
,,,,Chac1
,,,,Stxbp2
,,,,Lphn3
,,,,Kif18b
,,,,Cyba
,,,,Lef1
,,,,Bmp1
,,,,Cpt1a
,,,,Gad2
,,,,Acvr2a
,,,,Ica1
,,,,Msx3
,,,,Ccdc86
,,,,Smarcd3
,,,,Pax6
,,,,Sez6l
,,,,Dnm3
,,,,Nuf2
,,,,Arnt
,,,,Acads
,,,,Efna3
,,,,Nrcam
,,,,Plcb3
,,,,Nptx2
,,,,Vamp4
,,,,Dact3
,,,,Klf5
,,,,Cenpf
,,,,Timeless
,,,,Cdh8
,,,,Snx16
,,,,Dyrk3
,,,,X99384
,,,,Krt19
,,,,Lrp12
,,,,Mgat5
,,,,Tnfrsf12a
,,,,Iqsec3
,,,,Rapgef4
,,,,Zfp640
,,,,Extl2
,,,,Tgfbi
,,,,Agpat3
,,,,Hmg20b
,,,,Cask
,,,,Serping1
,,,,Gatsl2
,,,,Rnaseh2b
,,,,Hspa4l
,,,,Psd3
,,,,6430598A04Rik
,,,,Nt5dc3
,,,,Zdhhc17
,,,,Lrrc24
,,,,Mapk10
,,,,Tnik
,,,,Slc9a3r2
,,,,Litaf
,,,,Rab39b
,,,,Ydjc
,,,,Tceal5
,,,,Socs2
,,,,Phf2
,,,,Trip10
,,,,Igsf9
,,,,Gm13247
,,,,Atp8a1
,,,,Arrdc4
,,,,AU018091
,,,,Capn6
,,,,4930402H24Rik
,,,,Cadm2
,,,,Dci
,,,,Adamts9
,,,,Rad54l
,,,,Pgm2l1
,,,,C530008M17Rik
,,,,Gfpt2
,,,,Gltp
,,,,Lrrc16b
,,,,Pola1
,,,,Chrna4
,,,,Tmem90b
,,,,Gabbr2
,,,,Lsr
,,,,Agtpbp1
,,,,Gm10308
,,,,Laptm5
,,,,Camta2
,,,,Ppm1e
,,,,Tshz2
,,,,Nmral1
,,,,Gm98
,,,,Rgs7
,,,,Tmem9b
,,,,Dtl
,,,,Ednrb
,,,,Ptp4a3
,,,,Apitd1
,,,,Spag5
,,,,Zadh2
,,,,Zfp7
,,,,Suclg2
,,,,Hoxb7
,,,,Pou3f3
,,,,St3gal5
,,,,Orc1
,,,,Mylpf
,,,,Smpd3
,,,,Gm13154
,,,,Pltp
,,,,Oip5
,,,,Slc1a5
,,,,Fcho1
,,,,Slc32a1
,,,,Ndc80
,,,,Bmi1
,,,,Rras2
,,,,Mycl1
,,,,Rpl39l
,,,,Dcn
,,,,Triml1
,,,,CT030640.1
,,,,Uncx
,,,,Tmem181b-ps
,,,,Adam11
,,,,Bai2
,,,,Trip13
,,,,Cmtm6
,,,,Mgat5b
,,,,Gm7125
,,,,Cdca4
,,,,Golga7b
,,,,Flnb
,,,,Gstm7
,,,,Cdk2
,,,,Zfp961
,,,,Tceal3
,,,,Pitpnm1
,,,,Rab33a
,,,,Lix1l
,,,,Armcx6
,,,,Mbtd1
,,,,Ttbk2
,,,,Boc
,,,,Alpl
,,,,Rrp1b
,,,,Lrp11
,,,,Klhl23
,,,,Nceh1
,,,,2310022B05Rik
,,,,Mblac2
,,,,Ypel4
,,,,Lhfpl4
,,,,Zic1
,,,,Pnck
,,,,Nrp2
,,,,Gnas
,,,,Plekho1
,,,,Cdc6
,,,,Prrt2
,,,,Gabra3
,,,,Pcdh10
,,,,Plxna2
,,,,Aldh5a1
,,,,Coro6
,,,,Sgtb
,,,,BC055324
,,,,Asb13
,,,,Plekhf2
,,,,Ss18l1
,,,,Acap3
,,,,D14Ertd668e
,,,,Mfsd10
,,,,Pbk
,,,,Pros1
,,,,Gabrb2
,,,,Fbln1
,,,,Cobl
,,,,Tgm2
,,,,Zfp362
,,,,Cacnb1
,,,,Pcdh7
,,,,Tdrd12
,,,,6530401D17Rik
,,,,Jph4
,,,,Lrp3
,,,,Rnft2
,,,,Tmem151a
,,,,Tmem35
,,,,Cep55
,,,,Runx1t1
,,,,Mcm10
,,,,Jam3
,,,,Epdr1
,,,,Dctd
,,,,Hs6st2
,,,,Psmc3ip
,,,,Snph
,,,,Stra6
,,,,Mtap9
,,,,Asphd1
,,,,Mettl5
,,,,Lhfpl2
,,,,Kcnq2
,,,,Zdhhc22
,,,,Unc13a
,,,,Asf1b
,,,,Cthrc1
,,,,Large
,,,,Hmgn5
,,,,St6galnac6
,,,,Nfe2l2
,,,,Ncan
,,,,Hapln4
,,,,Ttk
,,,,Fblim1
,,,,Polr3g
,,,,Mid1
,,,,Nodal
,,,,Gjc1
,,,,Tsc22d3
,,,,Soat1
,,,,Gm5567
,,,,Efnb3
,,,,Ulk2
,,,,Gm13152
,,,,Myl6b
,,,,Wdhd1
,,,,Gpx8
,,,,Arhgef9
,,,,Lrrn3
,,,,Gnal
,,,,Add2
,,,,Cpeb4
,,,,Tspan17
,,,,Fn3k
,,,,2410066E13Rik
,,,,Gcat
,,,,Ifrd2
,,,,4930572J05Rik
,,,,Polr1b
,,,,Mtfr1
,,,,Cd47
,,,,Ddah1
,,,,Nedd9
,,,,Trim2
,,,,Ngfr
,,,,2700089E24Rik
,,,,Cdc25b
,,,,Scn2a1
,,,,Nrxn1
,,,,Zscan10
,,,,Fbll1
,,,,Ntm
,,,,Epha5
,,,,Lrrtm1
,,,,Ctnnd2
,,,,Tns3
,,,,Adcy2
,,,,Cerk
,,,,Frmd4a
,,,,Fam73b
,,,,Stra8
,,,,Nat8l
,,,,Wls
,,,,Gphn
,,,,Abcc4
,,,,Isg20l2
,,,,Herc3
,,,,Fkbp10
,,,,Grb7
,,,,Epas1
,,,,Etv4
,,,,Igdcc3
,,,,Lass6
,,,,Stox2
,,,,Htr2c
,,,,Panx2
,,,,Rbp4
,,,,Robo1
,,,,Gria4
,,,,Gpbp1l1
,,,,Nlrp1a
,,,,Snx25
,,,,Wasf2
,,,,Inpp5d
,,,,Nipal3
,,,,Nudt1
,,,,Nup160
,,,,Npy
,,,,Hebp1
,,,,Gfra1
,,,,Cyb561
,,,,Cldn6
,,,,Hk2
,,,,Mpp2
,,,,P4htm
,,,,Gpr56
,,,,Wdr47
,,,,Begain
,,,,Kcnh2
,,,,Sip1
,,,,Cd276
,,,,Pcgf6
,,,,Jph3
,,,,Gria2
,,,,Pard6a
,,,,Epb4.9
,,,,Tesk1
,,,,Nxt1
,,,,Reln
,,,,Ppfia3
,,,,Mtfp1
,,,,Efr3b
,,,,Echdc2
,,,,6030419C18Rik
,,,,Endod1
,,,,Arhgef4
,,,,Apba2
,,,,Plod2
,,,,Sirpa
,,,,Ppip5k1
,,,,Nup62cl
,,,,Jazf1
,,,,Acadl
,,,,Robo2
,,,,Gabpa
,,,,Fkbp1b
,,,,Chaf1a
,,,,Sfxn3
,,,,Rgma
,,,,Prkcb
,,,,Mina
,,,,Acy1
,,,,Nbea
,,,,Mex3b
,,,,Pik3r1
,,,,Kcnc1
,,,,Qsox1
,,,,Edil3
,,,,Apc2
,,,,Pim1
,,,,Fndc4
,,,,Shroom2
,,,,Tox3
,,,,Sp1
,,,,H2-K1
,,,,Cdc45
,,,,Homer3
,,,,Ogfod1
,,,,Cmtm7
,,,,Prim2
,,,,AI836003
,,,,Ptgr1
,,,,Usp1
,,,,Ankrd13d
,,,,Rbm38
,,,,Sema6c
,,,,Bcl11a
,,,,Cldn4
,,,,Pam
,,,,Dmrt1
,,,,Nt5m
,,,,Mthfd1l
,,,,Celf5
,,,,Icam1
,,,,Wapal
,,,,Gtsf1l
,,,,Zfp960
,,,,Gata4
,,,,Vash2
,,,,Pdxk
,,,,Snrk
,,,,Zfp125
,,,,Loxl2
,,,,Brms1
,,,,Smo
,,,,Tyms
,,,,Cx3cl1
,,,,Crtap
,,,,A230050P20Rik
,,,,Pde1b
,,,,Col5a1
,,,,Melk
,,,,Gm13157
,,,,Fgf4
,,,,Shc1
,,,,Rab11fip4
,,,,Wdr7
,,,,Tgfbr1
,,,,Nrsn1
,,,,Lonrf2
,,,,Accn2
,,,,Lin7b
,,,,Fam171b
,,,,Alcam
,,,,Fgb
,,,,Zwilch
,,,,Tmem106b
,,,,B3galnt1
,,,,Ncaph
,,,,Astn1
,,,,Lingo1
,,,,Tulp4
,,,,Gins1
,,,,Ramp3
,,,,Kcnk1
,,,,Grik5
,,,,Fignl1
,,,,Rarb
,,,,Mov10
,,,,Mki67
,,,,Ntrk2
,,,,Lmo4
,,,,Kctd15
,,,,Morc1
,,,,Rbmx
,,,,Os9
,,,,Myo10
,,,,Nras
,,,,Jub
,,,,Ncrna00086
,,,,Ncapg
,,,,Rwdd2a
,,,,Slc8a1
,,,,Gpm6b
,,,,3110082I17Rik
,,,,Zswim4
,,,,Fbxo2
,,,,Fgf12
,,,,Pcdh9
,,,,Yjefn3
,,,,Fam70a
,,,,Cacna2d2
,,,,Heatr1
,,,,Kif20b
,,,,Rai14
,,,,Epb4.1l2
,,,,Xpr1
,,,,Abca3
,,,,Skp2
,,,,Nrbp2
,,,,Clip2
,,,,Kit
,,,,Cartpt
,,,,Arhgap19
,,,,Tmem98
,,,,Sall4
,,,,Mnd1
,,,,Smc2
,,,,Aak1
,,,,Plat
,,,,Atg9a
,,,,Ablim3
,,,,Tcf15
,,,,Psd
,,,,Stau2
,,,,Rbfox1
,,,,Skor1
,,,,Mmd
,,,,Igf2bp3
,,,,Kif23
,,,,Rad51
,,,,Iqgap1
,,,,5730507C01Rik
,,,,Rgs2
,,,,Fos
,,,,Tmem2
,,,,Tppp
,,,,Lass1
,,,,Cenph
,,,,Tacc3
,,,,Hdac1
,,,,Mmp24
,,,,Ckap2
,,,,Tmem123
,,,,Epha3
,,,,Topbp1
,,,,Trim25
,,,,2610318N02Rik
,,,,Fpgs
,,,,Pik3r3
,,,,Tmcc2
,,,,Slc25a12
,,,,Dcc
,,,,Myl9
,,,,Madd
,,,,Zfp710
,,,,Cplx2
,,,,Clec2l
,,,,Foxp4
,,,,Krt18
,,,,Negr1
,,,,Arhgef7
,,,,Lbx1
,,,,Dtd1
,,,,Panx1
,,,,Ap3m2
,,,,Cited1
,,,,Slc24a3
,,,,Haus1
,,,,Zdhhc12
,,,,Efemp2
,,,,Aatk
,,,,Rdm1
,,,,Trim59
,,,,Cdk14
,,,,Serpina3n
,,,,Ebf3
,,,,Mdc1
,,,,Prosapip1
,,,,Arl4c
,,,,Fam125b
,,,,Slc17a6
,,,,Caskin1
,,,,Auts2
,,,,Zer1
,,,,Fst
,,,,Gabra5
,,,,Lrwd1
,,,,Srgap3
,,,,Cyp26b1
,,,,Ccdc92
,,,,Pdgfra
,,,,Srxn1
,,,,Syn2
,,,,Nelf
,,,,Nap1l3
,,,,Tet1
,,,,Tcfap2a
,,,,Sema4c
,,,,Usp29
,,,,Gemin6
,,,,Ccdc28b
,,,,Pipox
,,,,Tmem22
,,,,Atf1
,,,,Slc9a3r1
,,,,Rest
,,,,Tmem229b
,,,,Ank2
,,,,Ppih
,,,,Syt3
,,,,Camkk1
,,,,Llgl1
,,,,Cntfr
,,,,Hspa12a
,,,,2610027L16Rik
,,,,AC167669.3
,,,,Ormdl2
,,,,1-Sep
,,,,4930506M07Rik
,,,,Postn
,,,,4930470H14Rik
,,,,Esco2
,,,,Pcdha1
,,,,Scn1a
,,,,Ddx25
,,,,Rbmxl2
,,,,Stag3
,,,,Stx1a
,,,,Blvrb
,,,,Svop
,,,,Rhebl1
,,,,C630004H02Rik
,,,,Kcnab2
,,,,C530028O21Rik
,,,,Msl3
,,,,6330407J23Rik
,,,,Pcgf5
,,,,Ank
,,,,Ncam2
,,,,Bcl2l2
,,,,Gba2
,,,,Igf2bp1
,,,,Nup205
,,,,Ptk7
,,,,Cspg5
,,,,Plin3
,,,,Nde1
,,,,Impa2
,,,,Atad2
,,,,Dab2
,,,,Tmem145
,,,,Gdap1
,,,,Nrn1
,,,,5930434B04Rik
,,,,Igf2bp2
,,,,Sgip1
,,,,Gpr162
,,,,Gabrb3
,,,,Fzd7
,,,,AI314976
,,,,Slc25a13
,,,,Ube2e2
,,,,Plp2
,,,,Gdap1l1
,,,,B4galnt1
,,,,Crlf3
,,,,Gatsl3
,,,,Chl1
,,,,Epha2
,,,,Cenpt
,,,,Irf1
,,,,Mxd4
,,,,Dppa2
,,,,Clcn4-2
,,,,Dnajb2
,,,,B3gnt7
,,,,Agap2
,,,,Rab11fip5
,,,,Nr0b1
,,,,Lmtk3
,,,,Elmod1
,,,,Lhx1
,,,,Fbxo5
,,,,Mcf2l
,,,,Phyhipl
,,,,Yap1
,,,,Pim2
,,,,Daam1
,,,,Cygb
,,,,Trim3
,,,,Myo1b
,,,,Timp1
,,,,Pdzd4
,,,,Crip2
,,,,Psmb10
,,,,Dnajc6
,,,,Hoxa6
,,,,Spc24
,,,,Cxx1a
,,,,Anxa5
,,,,Habp4
,,,,Smagp
,,,,Kif2c
,,,,Hdgfrp3
,,,,Ss18
,,,,Adcy1
,,,,Cep170
,,,,Fzd10
,,,,Necab2
,,,,Lrrn1
,,,,Smpd1
,,,,Arnt2
,,,,1110051M20Rik
,,,,Car10
,,,,Gsk3b
,,,,Glra1
,,,,Fam19a5
,,,,St8sia2
,,,,Lefty1
,,,,Pak3
,,,,Golm1
,,,,Car2
,,,,Sfn
,,,,Dnajc27
,,,,Meis3
,,,,Rusc1
,,,,AI413582
,,,,Hddc3
,,,,Exosc8
,,,,Spink3
,,,,Phf17
,,,,Epb4.1
,,,,Susd4
,,,,Ppp1r1a
,,,,Vamp3
,,,,Dlgap5
,,,,Tmem38a
,,,,Ankrd13b
,,,,Prim1
,,,,Kdelr3
,,,,Rbp1
,,,,Gdpd1
,,,,Kif21a
,,,,Mpzl1
,,,,Ptpn5
,,,,Ube2h
,,,,Exosc3
,,,,Anxa11
,,,,Samd10
,,,,Anln
,,,,2610305D13Rik
,,,,Tcf7
,,,,Rtn2
,,,,Snx32
,,,,Trim6
,,,,Vstm2a
,,,,Pla2g1b
,,,,Sulf1
,,,,Hmbs
,,,,Tmem127
,,,,Glipr2
,,,,Cenpm
,,,,Trib2
,,,,Nova1
,,,,Lrrc4b
,,,,Gpsm1
,,,,Slc16a1
,,,,Tshz1
,,,,Lin28a
,,,,Zfp358
,,,,B3gat1
,,,,Gprin1
,,,,Zic3
,,,,Ncs1
,,,,Pold1
,,,,Gad1
,,,,Ube2t
,,,,Fam69b
,,,,Kifc1
,,,,Brsk2
,,,,Phc2
,,,,Gas6
,,,,Ptprn2
,,,,Atp2b2
,,,,Fam64a
,,,,Raver1
,,,,Iqsec1
,,,,Ddr1
,,,,Umps
,,,,Ppat
,,,,Map3k10
,,,,Cib1
,,,,Klf4
,,,,Crip1
,,,,Sez6
,,,,Hsd17b14
,,,,Nqo1
,,,,Mfap2
,,,,Zmiz1
,,,,Fgf13
,,,,Armcx3
,,,,Ncald
,,,,Dcun1d4
,,,,Trp53inp1
,,,,Aurkb
,,,,Actl6b
,,,,E130012A19Rik
,,,,Gramd1a
,,,,Eml2
,,,,Fkbp5
,,,,Dbc1
,,,,Nap1l2
,,,,Rab3c
,,,,Rgs4
,,,,Phlda2
,,,,Mgat3
,,,,Epm2aip1
,,,,Ube2j1
,,,,Klf9
,,,,Tjp2
,,,,Ralyl
,,,,Gnai1
,,,,Msn
,,,,Dvl3
,,,,Cmtm3
,,,,Hcn2
,,,,Bdh1
,,,,Ppie
,,,,B630019K06Rik
,,,,6330439K17Rik
,,,,Fam57b
,,,,Tmod2
,,,,Fen1
,,,,Crabp2
,,,,Dusp9
,,,,Ucp2
,,,,Camta1
,,,,Pop1
,,,,Cd99l2
,,,,Cacng4
,,,,6330527O06Rik
,,,,Me2
,,,,Pdlim1
,,,,Cnn2
,,,,Myt1
,,,,Trnp1
,,,,Cacnb3
,,,,Wfdc2
,,,,Gnb5
,,,,2610017I09Rik
,,,,Ung
,,,,Pcsk2
,,,,Rpa3
,,,,Pnpo
,,,,Ctdsp2
,,,,Rcor2
,,,,Dusp8
,,,,Ccnd1
,,,,Sfrp1
,,,,Hmmr
,,,,Srcin1
,,,,Syngr2
,,,,Bcat2
,,,,Rph3a
,,,,Nup107
,,,,2810432L12Rik
,,,,Slc6a17
,,,,Mreg
,,,,Hoxc6
,,,,Spock1
,,,,Rps6ka1
,,,,Rfc4
,,,,P4ha2
,,,,Serp2
,,,,Apba1
,,,,Myh9
,,,,Hjurp
,,,,Gnaq
,,,,Dzip1
,,,,Meis1
,,,,Fbxo44
,,,,Vstm2l
,,,,Cdca5
,,,,Qk
,,,,Nr2f1
,,,,Tcea3
,,,,Ctnna2
,,,,Hs3st1
,,,,Scrt1
,,,,Ect2
,,,,Spnb3
,,,,Rhoc
,,,,Cntn2
,,,,Ccl27a
,,,,Dhrs3
,,,,Rrp15
,,,,Tcof1
,,,,Ctsz
,,,,Wdr13
,,,,Acox1
,,,,Klf10
,,,,Mast1
,,,,Camk2d
,,,,Fam171a2
,,,,Diras1
,,,,Pprc1
,,,,Snca
,,,,Acp6
,,,,Pola2
,,,,Tbc1d9
,,,,Cdca3
,,,,Mtss1l
,,,,Tpm3
,,,,Mtmr7
,,,,Spag9
,,,,Zic2
,,,,S100a10
,,,,Acsl6
,,,,Sncg
,,,,Gas1
,,,,Slc7a3
,,,,Utp14a
,,,,2410127L17Rik
,,,,Rcn3
,,,,Rif1
,,,,Slc25a23
,,,,Ap3b2
,,,,Sec11c
,,,,Cd200
,,,,Rnf11
,,,,Parp6
,,,,Col5a2
,,,,Kif21b
,,,,Mageh1
,,,,Ccdc58
,,,,6330403K07Rik
,,,,Nme4
,,,,Tax1bp3
,,,,Espl1
,,,,Syt2
,,,,Nup188
,,,,Ppp2r2b
,,,,Cbx7
,,,,Spock3
,,,,Sh3bp5
,,,,Elovl4
,,,,Sall1
,,,,Rarg
,,,,Id1
,,,,Gadd45a
,,,,Scn3b
,,,,Nxn
,,,,Nicn1
,,,,Xrcc6
,,,,6430548M08Rik
,,,,Cdh11
,,,,Arhgdig
,,,,Dusp4
,,,,Tom1l2
,,,,Sirt3
,,,,Scn2b
,,,,Pnmal2
,,,,Bin1
,,,,Slc27a4
,,,,Hoxa7
,,,,Tpx2
,,,,Synj1
,,,,Mfn2
,,,,Rpl12
,,,,Kif3c
,,,,Auh
,,,,Gins2
,,,,Stx3
,,,,Lefty2
,,,,Hoxa5
,,,,Fam169a
,,,,Hoxc4
,,,,Gm10237
,,,,Tac1
,,,,Gm10323
,,,,Gm13242
,,,,Ssbp1
,,,,Nusap1
,,,,Msi1
,,,,Fbxl16
,,,,Cdk5
,,,,Cdh13
,,,,Pth1r
,,,,Hoxb3
,,,,Celf3
,,,,Disp2
,,,,Bub1
,,,,Nup37
,,,,Xrcc5
,,,,Gar1
,,,,Cntnap1
,,,,Tk1
,,,,Gpx2
,,,,Arhgap33
,,,,Arhgap44
,,,,Haghl
,,,,Gnpda1
,,,,2900073G15Rik
,,,,Arpc1b
,,,,Fbxo15
,,,,Nrxn2
,,,,Fyn
,,,,Blcap
,,,,Dpysl2
,,,,Kif11
,,,,Igf2r
,,,,Zrsr1
,,,,Evi5l
,,,,AW551984
,,,,Dync1li2
,,,,D16H22S680E
,,,,Spc25
,,,,Ccnd2
,,,,Gadd45g
,,,,BC048355
,,,,Prkar2b
,,,,BC018242
,,,,2310028H24Rik
,,,,Brp44
,,,,Tcf12
,,,,Ifi30
,,,,Nup43
,,,,Pml
,,,,Aldh2
,,,,Pdxp
,,,,Nid1
,,,,Pfkp
,,,,Kifc2
,,,,Cxadr
,,,,Epb4.1l1
,,,,Cdk5r1
,,,,Ogdhl
,,,,Pax2
,,,,Kif22
,,,,Omg
,,,,Serf1
,,,,Eif2d
,,,,Nhlh2
,,,,Cdh2
,,,,Acot13
,,,,Iglon5
,,,,Eed
,,,,Scrn1
,,,,Terf1
,,,,Limk1
,,,,Reep2
,,,,Sdc4
,,,,Slc38a4
,,,,Vopp1
,,,,Rpl9
,,,,Purb
,,,,Ak1
,,,,Gm10695
,,,,Krt8
,,,,Cdk1
,,,,Rbm4b
,,,,Gja1
,,,,Syce2
,,,,Gfap
,,,,Mapre3
,,,,Dhx16
,,,,Dclk1
,,,,Mtf2
,,,,Chaf1b
,,,,Atat1
,,,,Pink1
,,,,Ezh2
,,,,Smc3
,,,,Zfp36l1
,,,,AC114648.1
,,,,Gpx3
,,,,B3gnt1
,,,,Olfm2
,,,,Vsnl1
,,,,Klf2
,,,,Fkbp9
,,,,Pacsin1
,,,,Gmnn
,,,,1110008P14Rik
,,,,Tcf3
,,,,Lphn1
,,,,Amph
,,,,Adam23
,,,,Kidins220
,,,,Atcay
,,,,Kif1b
,,,,Hadh
