Neftel.all,GL261.CT2A.specific,GBM.HH.query,HH.neural.dif.short,HH.neural.dif.long
CHD7,,,Ppp2r2b,Rnf125
GPR56,,,Ctnnd2,Plekhg1
TUBA1A,,,Cdh8,Rbm47
PCBP4,,,Cadm2,Eomes
ETV1,,,Ank2,Cobll1
SHD,,,Kcnq5,Gpr155
TNR,,,Fam155a,Col2a1
AMOTL2,,,Nrxn3,Arsb
DBN1,,,Cacna2d3,AC124383.1
HIP1,,,Fam155a,Nos1ap
ABAT,,,Kirrel3,Gpr139
ELAVL4,,,Plcb1,Rspo3
LMF1,,,Ank2,Prss12
GRIK2,,,Nrxn1,Isx
SERINC5,,,Nrg3,Itga9
TSPAN13,,,Rab3c,Hoxa9
ELMO1,,,Lrrc4c,Serpinf1
GLCCI1,,,Syt1,Zic4
SEZ6L,,,Dlgap1,Cdk6
LRRN1,,,Gria4,Frmpd3
SEZ6,,,Hs3st5,H2-DMb1
SOX11,,,Nova1,Fgfr4
STMN2,,,Pde4d,Dok2
CD24,,,Cntn5,Dkk1
RND3,,,Mdga2,Ltk
HMP19,,,Ntrk3,Bhlhe41
TUBB3,,,Pcdh7,Spon1
MIAT,,,Kcnd2,Cblc
DCX,,,Galnt13,1700019N12Rik
NSG1,,,Mapk10,Zxdb
ELAVL4,,,Cadm2,Cnga3
MLLT11,,,Cdh8,Stk31
DLX6-AS1,,,Slc8a1,Chrm2
SOX11,,,Sgip1,Inhbb
NREP,,,Cntnap2,Eps8l2
FNBP1L,,,Cdh13,Erbb3
TAGLN3,,,Gpm6a,Elovl7
STMN4,,,Prickle2,Rad54b
DLX5,,,Chrm3,Gm10430
SOX4,,,Samd12,Nepn
MAP1B,,,Pclo,C1ql1
RBFOX2,,,Kcnn2,Adh1
IGFBPL1,,,App,Paqr7
STMN1,,,Nrg3,Col12a1
HN1,,,Grm7,Neurod1
TMEM161B-AS1,,,Kcnd2,Mrap2
DPYSL3,,,Cadm2,Chrna9
3-Sep,,,Nrxn1,Pacrg
PKIA,,,Opcml,Hoxa3
ATP1B1,,,Syt1,Figf
DYNC1I1,,,Mdga2,Csgalnact1
CD200,,,Lingo2,Olig1
SNAP25,,,Cntnap2,Vsig10
PAK3,,,Lrrc4c,Tert
NDRG4,,,Grm5,Gk5
KIF5A,,,Kcnma1,Ryr2
UCHL1,,,Cntn5,Gpld1
ENO2,,,Dlgap1,Pde3a
KIF5C,,,CDH13,Rab11fip1
DDAH2,,,Lrrc7,Klhdc1
TUBB2A,,,42429,Sgpp2
LBH,,,Grin2b,Cacna1c
LOC150568,,,Fam155a,Hck
TCF4,,,Anks1b,Tlx1
GNG3,,,Nrxn3,Lpar4
NFIB,,,Dpp10,Fam81a
DPYSL5,,,Ralyl,Pls1
CRABP1,,,Lrfn5,Tmem119
DBN1,,,Car10,Ptk2b
NFIX,,,Rims1,Gsbs
CEP170,,,Macrod2,Rgs20
BLCAP,,,Mgat4c,Zfp536
RRM2,,,Chsy3,Rit2
PCNA,,,Dgki,Tmem144
KIAA0101,,,Gabrg3,Npas4
HIST1H4C,,,Kcnq5,Tex11
MLF1IP,,,Glra1,Kcnh4
GMNN,,,Grid2,Necab1
RNASEH2A,,,Erbb4,Pip5kl1
MELK,,,Nlgn1,Cpm
CENPK,,,Galntl6,Unc93b1
TK1,,,MCTP1,Dnajc22
TMEM106C,,,Adarb2,Klhl32
CDCA5,,,Cadps,Crlf1
CKS1B,,,Erbb4,Tead4
CDC45,,,Pcdh9,Otp
MCM3,,,Lsamp,Fzd6
CENPM,,,Epha5,5930403N24Rik
AURKB,,,Nlgn1,Ankrd33b
PKMYT1,,,Magi2,Isl1
MCM4,,,Grik2,Kif26a
ASF1B,,,Epha6,Rnf144b
GINS2,,,Nrg1,Fat3
MCM2,,,Galntl6,Faah
FEN1,,,Lrrtm4,Fut10
RRM1,,,Cdk14,Ifi27l1
DUT,,,Dgkb,Spef1
RAD51AP1,,,Unc5d,1110021L09Rik
MCM7,,,Osbpl6,Qrfpr
CCNE2,,,Peg3,Map6d1
ZWINT,,,Sparcl1,D18Ertd653e
CCNB1,,,Rora,Lrmp
CDC20,,,Inpp4b,Smad9
CCNB2,,,Gria1,Gm6792
PLK1,,,Unc5d,Ramp1
CCNA2,,,Gabra1,Car14
CKAP2,,,Ric3,Rad51l1
KNSTRN,,,NLGN1,Syt6
RACGAP1,,,Peg3,Slc44a3
CDCA3,,,Iqsec1,Hecw2
TROAP,,,Magi3,Pcdhb16
KIF2C,,,Kcnip4,Gm10419
AURKA,,,Lrrtm4,Scube1
CENPF,,,Pcdh9,Msx2
KPNA2,,,Lsamp,Gna15
KIF20A,,,Nlgn1,Flt3
ECT2,,,Epha6,Ufm1
BUB1,,,Nrg1,St8sia6
CDCA8,,,Arpp21,AI606181
BUB1B,,,Magi2,Fbxo32
TACC3,,,Grin2a,4930534B04Rik
TTK,,,Snap25,3110035E14Rik
TUBA1C,,,Frmpd4,Rhox9
NCAPD2,,,Ncam2,Heg1
ARL6IP1,,,Galntl6,Tep1
KIF4A,,,Grik2,Lpin3
CKAP2L,,,Dgkb,Gas2l3
MZT1,,,Gpr158,Lypd2
KIFC1,,,Grid2,Ccdc18
SPAG5,,,,Kcnh1
ANP32E,,,,Synpo
KIF11,,,,Cntn4
PSRC1,,,,Crybg3
TUBB4B,,,,Plekhg3
SMC4,,,,6330403L08Rik
MXD3,,,,Piwil2
CDC25B,,,,Nbl1
OIP5,,,,Slc5a4b
REEP4,,,,AI118078
FOXM1,,,,C330021F23Rik
TMPO,,,,Dapp1
GPSM2,,,,Ppargc1b
HMGB3,,,,Klhl14
ARHGAP11A,,,,Prr19
RANGAP1,,,,Vrtn
H2AFZ,,,,Zhx3
,,,,Igtp
,,,,Tnfrsf1b
,,,,Zfp467
,,,,11-Mar
,,,,AI504432
,,,,Gbp3
,,,,Lgals3bp
,,,,S1pr1
,,,,Arhgef3
,,,,Ggct
,,,,G0s2
,,,,Nostrin
,,,,Ubash3a
,,,,Has2
,,,,Ace
,,,,4930502E18Rik
,,,,Angptl2
,,,,Nfia
,,,,Tnnt2
,,,,Kif7
,,,,Zp3
,,,,Pdk4
,,,,Fam129a
,,,,Phactr3
,,,,Hspb2
,,,,Saa3
,,,,Doc2a
,,,,Grp
,,,,Lrrc27
,,,,Asah2
,,,,Slc16a14
,,,,Foxp2
,,,,Cldn3
,,,,Ankrd44
,,,,Pde5a
,,,,4930422G04Rik
,,,,Trf
,,,,Lingo3
,,,,Kcnj8
,,,,Tmem74
,,,,Btbd19
,,,,Atp2a3
,,,,Gm129
,,,,Gm4392
,,,,Stap2
,,,,Rbm44
,,,,Stxbp5l
,,,,Pou4f3
,,,,Gm10503
,,,,Rasip1
,,,,Btnl7
,,,,Tspan33
,,,,St6gal2
,,,,Gtsf1
,,,,Rttn
,,,,Zbtb8b
,,,,Prickle4
,,,,Rasgef1c
,,,,Gstk1
,,,,Fgf18
,,,,Myb
,,,,Lypd6b
,,,,Nmi
,,,,Tha1
,,,,Unc79
,,,,Nfix
,,,,Rnf180
,,,,Prtg
,,,,Gm9631
,,,,Dusp15
,,,,Wt1
,,,,Crym
,,,,Wdr86
,,,,Bcl11b
,,,,Tmem79
,,,,Steap2
,,,,Eya2
,,,,Pgr
,,,,Fam13a
,,,,Il10rb
,,,,Dmrtb1
,,,,Lor
,,,,Pla2g16
,,,,Efemp1
,,,,Megf6
,,,,Tap2
,,,,Fam65b
,,,,Gm15440
,,,,Itgb8
,,,,Efcab2
,,,,Tjp3
,,,,Sstr2
,,,,St18
,,,,Plk5
,,,,Fam72a
,,,,1500009C09Rik
,,,,Krtcap3
,,,,Oaf
,,,,Npr3
,,,,Fbxl17
,,,,Rgl3
,,,,Filip1l
,,,,Angptl4
,,,,Col14a1
,,,,Xaf1
,,,,Fgfbp3
,,,,Casp8
,,,,Ccdc138
,,,,Cacna1g
,,,,Dsg2
,,,,Wnt7b
,,,,Ccl2
,,,,Mical2
,,,,Xkr7
